TSNE1,TSNE2,KMeans_Cluster
-20.74568,2.9380698,0
-11.999849,7.3932104,1
4.517977,17.923582,1
54.98406,-14.800848,1
-22.855276,-35.570934,0
-10.719881,45.070023,0
24.326475,27.009497,1
-30.625973,-37.932495,0
-8.146969,-38.795998,0
15.212537,5.991608,1
-29.365534,-17.421598,0
-27.527851,-32.456356,0
13.535645,-11.66952,1
-26.100105,-13.267291,0
60.50463,-1.0678853,1
25.96338,0.9330511,1
-27.01224,-44.676685,0
58.594124,14.250239,1
14.303096,17.11245,1
-42.115437,24.163446,0
34.402077,27.069878,1
25.918377,3.8998477,1
57.910877,-17.66446,1
18.68904,15.76524,1
-29.559534,-9.711133,0
-26.974852,-19.440382,0
55.307068,17.262718,1
2.140748,-38.648735,0
2.5539353,34.48118,1
-38.098473,-7.406273,0
22.146961,26.550125,1
-0.23752436,-4.3155713,0
-39.222717,41.71387,0
-57.100143,37.557003,0
-47.413666,-26.314669,0
0.25083035,32.39652,1
-7.4479733,-6.9762526,0
-35.97026,-33.599037,0
-21.339968,37.4025,0
-26.311998,36.166203,0
62.734184,5.602679,1
-21.481733,49.061157,0
31.363464,-26.447962,1
-37.918148,-14.282012,0
40.543713,-11.725224,1
-34.739445,-18.033377,0
0.8173895,-12.253941,0
-38.739914,34.459072,0
-29.635769,37.524944,0
15.147104,2.7635558,1
33.934067,-10.484409,1
31.772081,-30.727434,1
56.122414,13.44748,1
20.338152,8.17689,1
-31.454428,-3.3294065,0
-12.000219,7.393029,1
10.175793,-32.99508,0
-1.9942051,-11.245646,1
-39.250023,25.418283,0
-19.84374,-22.188747,0
32.21713,-18.421856,1
-4.87029,43.603603,1
34.211002,-27.465338,1
12.295138,-34.49008,0
-3.4098163,-49.928482,0
-21.804604,-10.464152,0
54.13881,11.293776,1
-35.756413,36.730015,0
-56.499336,24.742477,0
28.413183,31.105028,1
-33.3215,-31.283806,0
-34.803833,1.7737406,0
54.854523,-22.767803,1
25.253834,19.46706,1
-38.061832,34.18851,0
20.695156,7.0377584,1
-14.264327,-23.14701,0
-15.236494,0.82058597,0
-25.755894,-12.493447,0
52.12662,4.091339,1
1.72224,-42.588024,0
60.12648,0.99880844,1
-0.21730524,19.402712,1
9.876565,-44.800068,0
-24.826443,-13.076479,0
-55.847996,39.61351,0
53.61635,21.677883,1
49.4254,-16.414513,1
-23.402445,31.08593,0
-42.15077,35.11201,0
-33.831875,32.486435,0
2.4795089,-4.5463624,1
-44.069897,26.563349,0
-0.640027,44.787594,0
8.082685,-3.959962,1
-28.043383,-40.43582,0
-45.865337,23.49323,0
17.964996,17.190144,1
0.0763971,11.164739,1
39.032047,-21.834888,1
-32.246002,-9.765633,0
-29.573654,-29.098076,0
-55.411766,34.232185,0
-20.65013,2.045041,0
-30.031797,-43.269524,0
-10.150101,-49.114822,0
25.597149,3.6410372,1
-45.30963,-23.090296,0
-30.810953,-8.480235,0
19.955942,-1.1188467,1
47.231815,11.1306305,1
-36.64215,-31.831993,0
51.445156,10.946333,1
55.332882,-16.772778,1
-8.185123,-47.562588,0
28.761545,30.00863,1
10.418099,-16.650635,1
-46.45829,-21.186943,0
38.672924,-29.690107,1
-44.113476,36.81433,0
32.44089,-29.409292,1
-30.66358,37.614567,0
-23.002283,-46.887173,0
16.059235,3.500837,1
32.92228,30.19995,1
36.271435,-33.43231,1
50.73253,-19.678461,1
17.822548,17.746836,1
-36.75824,26.439493,0
-14.126603,-14.459804,0
50.52834,-19.878996,1
38.55627,-23.776905,1
-12.652946,3.5268114,0
52.924854,-0.5757512,1
14.278713,-2.848464,1
-38.14917,36.524796,0
-35.970318,-33.599003,0
-12.216688,41.960175,0
12.315905,5.2023907,1
42.699383,-19.382929,1
-28.064934,-5.7875924,0
44.545288,-16.421125,1
5.204639,15.98506,1
-21.526257,-34.000626,0
-19.369133,43.1428,0
-47.88825,-20.785498,0
27.453335,29.252432,1
-28.71191,35.1735,0
-23.251762,44.393948,0
-2.449962,-49.61555,0
-34.033802,-31.442293,0
22.74564,-10.6249695,1
-27.3112,-41.291878,0
-54.236954,25.322685,0
-20.67786,-42.972748,0
10.36708,-32.845802,0
-20.483574,45.620857,0
-16.769266,-32.58905,0
-35.580692,-11.809041,0
0.77093905,24.098986,1
10.3505535,2.1835818,1
-12.258899,-12.100344,0
0.7133695,37.15727,1
65.251396,12.128048,1
1.1295512,-12.096074,0
48.82611,-25.711248,1
3.285585,-36.285107,0
14.690731,0.03525124,1
52.4488,-26.638563,1
-23.88825,36.38595,0
-40.30092,-8.110959,0
-31.313051,-42.478897,0
-26.242607,0.15662488,0
-37.04334,41.480553,0
38.687355,-8.851454,1
-37.666313,39.293484,0
9.12431,-35.38175,0
-15.412061,50.220203,0
-47.809624,29.025705,0
-37.711872,-4.266111,0
-20.1787,32.663506,0
-38.58863,-29.429203,0
-12.824452,33.333237,0
-28.74659,-3.1649299,0
3.6982768,-3.791913,1
21.640476,22.034153,1
-13.81832,9.217016,0
24.617817,0.2627376,1
36.692726,-25.370842,1
-43.878677,-18.49759,0
59.960175,17.551683,1
54.104984,16.580107,1
-8.0870075,44.418976,0
-33.114815,-19.066553,0
-23.479961,-27.774292,0
-23.658726,-35.823666,0
57.40926,13.193508,1
56.19928,4.6340137,1
-57.436718,37.41248,0
58.767357,18.262188,1
31.122356,23.549149,1
-27.423998,-20.688469,0
9.912837,-5.7691965,1
61.03083,10.913423,1
-12.329399,13.93895,0
-6.0641594,42.79233,1
17.486532,-10.243416,1
-30.259493,-19.444574,0
-12.445908,-34.222095,0
13.32054,-5.4613495,1
1.596606,7.5012565,1
-22.62193,-8.976378,0
-27.38018,-4.012947,0
-31.182375,-40.82735,0
-4.021866,-16.741531,0
-9.302271,-39.49767,0
-34.033833,-31.442076,0
-3.9648561,-35.851215,0
-4.329619,-40.860207,0
-9.626688,0.6718501,0
62.074623,3.0279324,1
-36.366444,-9.417019,0
9.189975,-16.308218,1
8.991705,2.4653563,1
16.530388,19.92801,1
-20.288828,-28.01021,0
-22.581238,23.830208,1
15.055134,19.881975,1
-20.130825,45.648457,0
51.400265,7.5698166,1
-27.511528,7.10696,0
0.038609125,-18.43686,0
56.954792,-17.024454,1
3.5413227,21.090849,1
35.70983,-20.55554,1
-13.007836,-3.7675033,0
62.734184,5.602679,1
-17.21533,-11.606428,0
44.68841,-28.870832,1
58.27668,7.4846582,1
-36.78232,-32.876133,0
-7.5175576,30.72607,1
10.580346,12.416209,1
15.117461,11.953224,1
-29.77253,-31.084625,0
15.503427,25.31613,1
-44.758274,40.081776,0
-20.371998,-33.569454,0
12.584054,10.224807,1
-44.93778,29.667465,0
3.8588147,4.781983,1
6.558532,8.223845,1
-11.868846,12.579454,0
-18.543507,-22.43987,0
-25.90857,-36.11445,0
-1.6227833,23.99946,0
-4.435608,-4.4505515,0
40.396034,-19.278732,1
47.376488,-14.63332,1
22.198164,-11.013224,1
17.433033,5.006693,1
-26.005764,-30.525375,0
3.0384765,-39.12901,0
25.401014,-10.957232,1
-12.75299,7.5470095,0
53.606216,1.0977354,1
6.5003495,17.779339,0
35.464226,4.3544374,1
10.482378,5.2757235,1
-17.580072,-29.018806,0
27.727936,3.756424,1
18.557436,-7.631664,1
32.08217,-19.39279,1
-34.27094,43.288353,0
-12.944068,-32.086857,0
2.0839581,-46.442467,0
5.4666896,14.777781,1
-12.445916,-34.22208,0
35.833298,-9.640031,1
